Name,TB_WNM,TB_WNM_std,velocity_TB,velocity_TB_std,fwhm,fwhm_std,T_k_max,NHI_w,NHI_w_std,F
J053250-682012,14.67,0.62,277.04,0.29,9.27,0.50,1881,2.64,0.18,1.0
J053252-694623,23.15,0.37,256.11,0.17,31.98,0.31,22368,14.37,0.27,0.0
J053252-694623,19.56,0.68,265.00,0.15,7.47,0.28,1219,2.83,0.15,0.5
J053254-723155,7.76,0.46,213.40,0.89,29.44,1.03,18946,4.43,0.31,0.0
J053254-723155,11.04,0.27,242.06,0.79,35.25,1.01,27171,7.56,0.28,1.0
J053318-674000,24.48,1.18,282.17,0.24,23.41,0.53,11979,11.12,0.59,0.5
J053342-684601,15.48,0.84,254.85,0.26,35.91,0.86,28201,10.79,0.64,0.5
J053342-684601,8.15,0.20,311.44,0.21,16.73,0.49,6123,2.65,0.10,0.0
J053342-684601,12.69,0.97,261.48,0.42,7.23,0.80,1144,1.78,0.24,1.0
J053344-721624,7.46,0.64,229.11,1.79,44.18,1.28,42681,6.40,0.58,0.0
J053344-721624,11.04,0.92,245.15,0.23,27.18,0.90,16156,5.82,0.52,1.0
J053434-670956,1.97,0.16,248.15,0.50,12.37,1.19,3347,0.47,0.06,0.0
J053434-670956,9.76,0.26,284.53,0.16,24.30,0.48,12915,4.60,0.15,1.0
J053523-673444,33.59,0.84,283.06,0.16,27.00,0.35,15939,17.60,0.50,1.0
J053523-673511,46.33,3.62,279.34,0.75,20.28,0.67,8994,18.23,1.55,0.5
J053523-673511,10.16,2.99,294.17,3.02,23.51,2.26,12084,4.64,1.43,1.0
J053528-691612,13.51,0.37,272.09,0.19,13.32,0.54,3881,3.49,0.17,1.0
J053528-691612,18.28,0.30,256.88,0.32,43.19,0.46,40794,15.32,0.30,0.5
J053530-655915,3.93,0.14,277.89,0.77,51.46,1.35,57913,3.92,0.18,0.5
J053530-655915,7.20,0.28,298.51,0.18,8.56,0.41,1601,1.20,0.07,1.0
J053537-685507,13.14,2.28,261.09,0.52,40.86,1.58,36510,10.42,1.85,0.0
J053537-685507,25.80,2.22,258.20,0.22,24.05,1.06,12650,12.04,1.17,1.0
J053544-660204,4.14,0.49,278.14,1.42,43.93,2.15,42190,3.53,0.45,0.5
J053544-660204,24.99,0.55,287.98,0.20,17.92,0.51,7026,8.69,0.31,0.5
J053544-660227,20.14,0.30,290.28,0.10,15.08,0.25,4971,5.89,0.13,1.0
J053544-660227,5.51,0.27,279.75,0.60,40.40,0.90,35689,4.32,0.23,1.0
J053545-660145,25.39,0.61,287.92,0.24,17.10,0.45,6391,8.42,0.30,1.0
J053545-660145,4.19,0.34,277.87,1.12,45.70,1.71,45668,3.71,0.33,0.0
J053547-660146,24.01,0.37,287.86,0.14,18.14,0.30,7199,8.45,0.19,1.0
J053547-660146,3.67,0.28,275.61,1.36,48.77,1.96,52009,3.47,0.30,0.0
J053601-712930,4.99,1.33,247.39,12.00,50.89,13.45,56622,4.92,1.85,1.0
J053601-712930,33.64,3.04,220.77,0.36,30.45,1.09,20281,19.88,1.93,1.0
J053604-691845,18.60,0.95,269.74,0.26,19.12,0.70,7996,6.90,0.43,0.0
J053604-691845,13.58,1.21,252.86,0.69,49.94,1.29,54543,13.16,1.22,0.0
J053657-691329,31.95,2.20,277.45,0.28,17.05,0.73,6355,10.57,0.86,1.0
J053657-691329,12.82,3.13,266.46,1.05,44.83,2.89,43954,11.15,2.82,0.0
J053736-680033,3.06,0.19,238.35,0.48,11.34,1.05,2814,0.67,0.08,0.5
J053736-680033,8.31,0.17,282.03,0.23,15.61,0.63,5327,2.52,0.11,1.0
J053736-680033,9.40,0.24,258.69,0.20,18.38,0.85,7386,3.35,0.18,0.0
J053736-680033,3.09,0.12,310.62,0.70,27.86,1.84,16970,1.67,0.13,1.0
J053744-691025,30.29,4.39,265.81,1.37,42.71,1.07,39892,25.11,3.69,1.0
J053744-691025,21.85,2.88,247.75,1.11,21.38,2.78,9992,9.06,1.68,0.0
J053745-691008,39.11,6.02,273.92,1.25,27.84,1.28,16952,21.13,3.39,0.5
J053745-691008,34.65,2.02,248.94,1.12,23.82,1.30,12406,16.02,1.28,1.0
J053804-695337,38.73,2.38,246.38,0.13,41.73,0.75,38079,31.37,2.01,1.0
J053804-695337,30.12,2.33,247.83,0.44,20.38,1.43,9082,11.91,1.24,0.5
J053822-704114,23.36,0.29,241.67,0.37,48.00,0.41,50378,21.76,0.33,0.0
J053822-704114,18.93,0.43,220.19,0.18,10.91,0.48,2604,4.01,0.20,1.0
J053822-704114,13.18,0.44,258.12,0.18,17.22,0.65,6487,4.41,0.22,0.5
J053929-700327,22.44,2.96,251.68,1.94,23.81,2.28,12397,10.37,1.69,0.0
J053929-700327,50.43,5.12,238.75,0.27,16.43,0.59,5902,16.08,1.73,0.0
J053929-700327,26.22,2.13,243.56,0.43,46.14,1.04,46548,23.48,1.98,0.5
J053937-694612,24.19,3.22,226.46,1.08,18.15,1.08,7206,8.52,1.24,1.0
J053937-694612,66.50,2.71,242.00,0.52,20.09,0.56,8822,25.92,1.28,1.0
J053937-694612,22.01,0.44,253.26,0.50,51.00,0.54,56877,21.78,0.50,1.0
J053940-694619,22.84,2.30,227.87,0.99,20.93,1.15,9578,9.28,1.06,0.5
J053940-694619,22.49,0.45,253.42,0.63,49.65,0.64,53906,21.67,0.52,1.0
J053943-693847,28.26,1.70,250.49,0.67,51.69,0.62,58432,28.35,1.74,1.0
