Name,RA_deg,Dec_deg,NHI_c,NHI_c_std,NHI_w,NHI_w_std,NHI_u,NHI_u_std,f_c,f_c_std,Tsky,Note,LMC_x
J052007-680223,80.03,-68.04,8.64,1.04,22.08,0.96,0.00,0.00,0.28,0.03,4.46,?,(x)
J052009-665023,80.04,-66.84,8.20,3.79,15.22,0.36,0.00,0.00,0.35,0.11,3.00,?,(x)
J052105-695939,80.27,-69.99,4.52,1.67,15.35,0.35,0.00,0.00,0.23,0.07,4.95,?,(x)
J052127-670722,80.36,-67.12,7.54,0.87,13.35,0.57,0.00,0.00,0.36,0.03,3.67,? (dim green Spitzer),(x)
J052218-672737,80.58,-67.46,0.52,0.24,11.83,0.40,0.00,0.00,0.04,0.02,2.73,known BL Lac,x
J052229-703757,80.62,-70.63,1.30,0.15,6.32,0.13,0.00,0.00,0.17,0.02,2.73,QSO? (green Spitzer),(x)
J052258-684428,80.75,-68.74,2.09,0.39,12.13,2.73,0.00,0.00,0.15,0.04,4.24,?,(x)
J052319-675535,80.83,-67.93,8.96,4.42,32.11,0.37,0.00,0.00,0.22,0.08,4.09,? (yellow Spitzer),(x)
J052340-705019,80.92,-70.84,0.62,0.11,7.89,0.22,0.00,0.00,0.07,0.01,2.73,?,(x)
J052341-705122,80.92,-70.86,1.20,0.17,7.01,0.36,0.00,0.00,0.15,0.02,2.73,?,(x)
J052350-704214,80.96,-70.70,7.45,1.32,4.13,0.30,0.00,0.00,0.64,0.04,3.54,? (very dim green Spitzer),(x)
J052415-715800,81.07,-71.97,5.55,1.05,9.03,0.34,0.00,0.00,0.38,0.05,4.45,?,(x)
J052456-693855,81.24,-69.65,2.69,0.46,9.67,0.79,3.48,1.04,0.17,0.03,38.73,just inside rim of N132 (SNR),?
J052502-693902,81.26,-69.65,4.15,0.74,14.29,0.31,0.00,0.00,0.23,0.03,46.91,in N132 (SNR),?
J052505-664051,81.27,-66.68,1.32,0.56,10.36,0.27,0.00,0.00,0.11,0.04,3.40,? (very dim green Spitzer),(x)
J052510-693811,81.29,-69.64,2.98,0.47,10.52,0.58,0.00,0.00,0.22,0.03,40.46,in outskirts of N132 (SNR),?
J052537-661941,81.41,-66.33,33.18,3.46,17.93,1.16,0.00,0.00,0.65,0.03,6.76,?,(x)
J052554-662751,81.48,-66.46,9.36,1.53,14.74,0.90,0.00,0.00,0.39,0.04,3.33,? (greenish Spitzer-only),(x)
J052558-660442,81.49,-66.08,22.19,2.25,17.10,0.86,0.00,0.00,0.56,0.03,18.11,near magnetar in N49 (SNR),?
J052559-660518,81.50,-66.09,21.65,1.62,18.08,0.64,0.00,0.00,0.54,0.02,18.11,knot in outskirts of N49 (SNR),?
J052604-660502,81.52,-66.08,12.31,2.16,24.66,0.95,0.00,0.00,0.33,0.04,18.11,in N49 (SNR),?
J052624-681505,81.60,-68.25,2.20,0.71,21.52,0.75,0.00,0.00,0.09,0.03,4.10,?,(x)
J052626-655623,81.61,-65.94,24.62,3.42,5.67,0.33,0.00,0.00,0.81,0.02,5.85,likely radio galaxy,(x)
J052627-655607,81.61,-65.94,11.78,2.71,18.16,0.75,0.00,0.00,0.39,0.06,5.85,?,(x)
J052631-654906,81.63,-65.82,7.92,1.46,15.16,0.40,0.00,0.00,0.34,0.04,5.80,?,(x)
J052635-674909,81.65,-67.82,16.09,2.85,14.72,2.11,0.00,0.00,0.52,0.06,4.41,"? (green Spitzer, X-ray)",(x)
J052746-675925,81.94,-67.99,4.07,0.58,8.76,0.49,0.00,0.00,0.32,0.03,4.05,"? (green Spitzer, dim X-ray)",(x)
J053209-684307,83.04,-68.72,7.06,1.96,13.02,0.25,0.00,0.00,0.35,0.06,3.59,?,(x)
J053250-682012,83.21,-68.34,19.30,2.17,20.82,0.55,0.00,0.00,0.48,0.03,3.70,?,(x)
J053252-694623,83.22,-69.77,5.02,1.70,17.20,0.31,0.00,0.00,0.23,0.06,4.08,likely YSO (in N149A),(LMC)
J053254-723155,83.23,-72.53,0.48,0.06,11.99,0.42,0.00,0.00,0.04,0.01,2.73,"? (green Spitzer-only at ~14"")",(x)
J053318-674000,83.33,-67.67,8.63,1.37,11.12,0.59,0.00,0.00,0.44,0.04,3.64,likely QSO (X-ray),(x)
J053342-684601,83.43,-68.77,21.60,3.52,15.22,0.69,0.00,0.00,0.59,0.04,4.55,YSO / HII (N150),LMC
J053344-721624,83.44,-72.27,0.30,0.08,12.22,0.78,0.00,0.00,0.02,0.01,2.73,known BL Lac,x
J053434-670956,83.64,-67.17,0.95,0.32,5.08,0.16,0.00,0.00,0.16,0.04,3.76,? (green Spitzer),(x)
J053523-673444,83.85,-67.58,23.42,7.38,17.60,0.50,0.00,0.00,0.57,0.08,6.63,YSO / HII (N59A),LMC
J053523-673511,83.85,-67.59,23.40,13.08,22.87,2.11,0.00,0.00,0.51,0.14,6.40,YSO / HII (N59A),LMC
J053528-691612,83.87,-69.27,1.75,0.58,18.81,0.35,0.00,0.00,0.09,0.03,5.09,SN1987A,LMC
J053530-655915,83.88,-65.99,20.24,4.31,5.12,0.19,0.00,0.00,0.80,0.03,4.51,?,(x)
J053537-685507,83.91,-68.92,10.81,1.83,22.46,2.19,0.00,0.00,0.32,0.04,3.73,knot in ISM? Bright X-ray,(x)
J053544-660204,83.93,-66.03,2.56,1.25,12.22,0.55,0.00,0.00,0.17,0.07,18.14,at edge of pulsar wind nebula in centre of N63 (SNR),?
J053544-660227,83.94,-66.04,1.30,0.46,10.21,0.27,0.00,0.00,0.11,0.04,18.14,"green Spitzer at ~8"" in N63 (SNR)",(x)
J053545-660145,83.94,-66.03,1.90,0.40,12.14,0.45,0.00,0.00,0.14,0.02,17.65,just inside rim of N63 (SNR),?
J053547-660146,83.95,-66.03,1.19,0.33,11.93,0.36,0.00,0.00,0.09,0.02,17.65,at rim of N63 (SNR),?
J053601-712930,84.01,-71.49,1.05,0.43,24.80,2.68,0.00,0.00,0.04,0.02,3.76,? (green Spitzer),(x)
J053604-691845,84.02,-69.31,14.38,2.23,20.06,1.30,0.00,0.00,0.42,0.04,5.42,? (Spitzer + X-ray),(x)
J053657-691329,84.24,-69.22,55.18,7.46,21.72,2.94,0.00,0.00,0.72,0.04,7.09,bright X-ray (in 30 Dor),?
J053736-680033,84.40,-68.01,0.39,0.12,8.21,0.26,0.00,0.00,0.04,0.01,3.60,HII (DEM L268),LMC
J053744-691025,84.44,-69.17,16.39,3.03,34.17,4.06,0.00,0.00,0.32,0.05,28.58,"in 30 Dor, 13"" from PSR J0537-6910, bright X-ray",(LMC)
